Try 1 - deployment (node 4),Infrastructure setup,Kuberntetes setup,CNI setup,Routing setup,total
HOST,41.364573,126.820838,7.895218,0,176.080629
VXLAN,40.214454,130.021286,5.770398,0,176.006138
STATIC,40.845456,137.782482,3.579235,74.843115,257.050288
DYNAMIC,40.472335,122.641652,7.477316,195.96516,366.556463
GKE,382.366111,135.869233,60.315463,0,578.550807
,,,,,
Try 2 - deployment (node 4),Infrastructure setup,Kuberntetes setup,CNI setup,Routing setup,total
HOST,30.327495,125.999238,5.636448,0,161.963181
VXLAN,40.87766,131.403273,5.289699,0,177.570632
STATIC,40.767032,136.402932,9.877311,76.800657,263.847932
DYNAMIC,40.883169,136.241872,14.617633,196.58748,388.330154
GKE,446.83072,137.130483,71.736289,0,655.697492
,,,,,
Try 3 - deployment (node 4),Infrastructure setup,Kuberntetes setup,CNI setup,Routing setup,total
HOST,40.669232,129.505139,12.789931,0,182.964302
VXLAN,40.850033,144.215357,5.583739,0,190.649129
STATIC,31.286515,124.353372,9.691501,83.605626,248.937014
DYNAMIC,40.387871,138.155502,10.308735,201.759696,390.611804
GKE,411.266846,140.140102,67.341317,0,618.748265
,,,,,
Average - deployment (node 4),Infrastructure setup,Kuberntetes setup,CNI setup,Routing setup,total
HOST,37.45376667,127.4417383,8.773865667,0,173.6693707
VXLAN,40.64738233,135.2133053,5.547945333,0,181.408633
STATIC,37.633001,132.846262,7.716015667,78.416466,256.6117447
DYNAMIC,40.581125,132.346342,10.801228,198.104112,381.832807
GKE,413.4878923,137.7132727,66.46435633,0,617.6655213
