,iperf3 TCP,,TCP Sender CPU utilization,,,,TCP Receiver CPU utilization,,,
Try 1,Receiver Throughput(Gbps),Retransmission,User Usage(%),System Usage(%),IOWait(%),Software IRQ((%),User Usage(%),System Usage(%),IOWait(%),Software IRQ((%)
HOST,9.889844,0,0.68,7.48,0,3.06,1.09,11.3,0.01,13.43
VXLAN,9.005599,10222,0.83,10.61,0,37.43,1.15,8.69,0,45.38
STATIC,9.761088,614778,0.77,7.59,0,5,1.03,8.93,0.01,19.09
DYNAMIC,9.732681,688759,0.8,11.1,0,5.51,0.98,4.98,0.01,15.5
GKE,9.741362,608032,1.47,8.98,0,2.26,2.6,11.64,0,8.59
,iperf3 TCP,,TCP Sender CPU utilization,,,,TCP Receiver CPU utilization,,,
Try 2,Receiver Throughput(Gbps),Retransmission,User Usage(%),System Usage(%),IOWait(%),Software IRQ((%),User Usage(%),System Usage(%),IOWait(%),Software IRQ((%)
HOST,9.888949,0,0.64,7.25,0.01,2.9,1.07,10.98,0,14.8
VXLAN,7.578035,5754,0.75,8.73,0,31.57,0.87,6.46,0.01,32.66
STATIC,9.73812,643447,0.74,7.69,0,5.17,1.01,8.76,0,19.09
DYNAMIC,9.695715,669235,0.81,10.97,0.01,5.6,1.01,5.77,0.01,15
GKE,9.747717,702384,1.43,9.02,0,2.16,2.63,11.76,0.01,8.49
,iperf3 TCP,,TCP Sender CPU utilization,,,,TCP Receiver CPU utilization,,,
Try 3,Receiver Throughput(Gbps),Retransmission,User Usage(%),System Usage(%),IOWait(%),Software IRQ((%),User Usage(%),System Usage(%),IOWait(%),Software IRQ((%)
HOST,9.888876,0,0.69,7.34,0,3.16,1.08,11.58,0,13.51
VXLAN,8.930547,12450,0.87,10.42,0.01,37.04,1.21,8.74,0.01,42.5
STATIC,9.748492,613253,0.76,7.85,0,5.33,1.02,8.91,0,17.4
DYNAMIC,9.731564,672307,0.79,11.1,0,5.39,1.03,5.64,0,16.22
GKE,9.749397,639640,1.37,8.72,0,2.2,2.7,11.67,0,8.44
,iperf3 TCP,,TCP Sender CPU utilization,,,,TCP Receiver CPU utilization,,,
Try 4,Receiver Throughput(Gbps),Retransmission,User Usage(%),System Usage(%),IOWait(%),Software IRQ((%),User Usage(%),System Usage(%),IOWait(%),Software IRQ((%)
HOST,9.888943,0,0.68,7.43,0,3.21,1.01,11.05,0.01,14.29
VXLAN,8.791169,17059,0.8,10.42,0.02,36.31,1.14,8.62,0,43.71
STATIC,9.713297,573663,0.75,7.4,0.01,4.16,1.03,8,0.01,17.94
DYNAMIC,9.728958,676247,0.82,11.06,0,5.32,1.02,5.42,0,16.08
GKE,9.765905,588614,1.43,8.84,0.01,2.01,2.7,11.97,0.01,9.01
,iperf3 TCP,,TCP Sender CPU utilization,,,,TCP Receiver CPU utilization,,,
Try 5,Receiver Throughput(Gbps),Retransmission,User Usage(%),System Usage(%),IOWait(%),Software IRQ((%),User Usage(%),System Usage(%),IOWait(%),Software IRQ((%)
HOST,9.888968,0,0.7,7.28,0,3.26,1.04,11.04,0,14.06
VXLAN,8.59754,12332,0.84,10.15,0.01,36.63,0.93,8.1,0,46.73
STATIC,9.734656,458955,0.74,7.42,0,3.64,1,7.94,0,16.18
DYNAMIC,9.734208,706237,0.81,11,0,5.69,1.04,5.6,0.01,16.25
GKE,9.668421,583234,1.45,8.87,0,2.3,2.42,10.25,0.01,8.15
,iperf3 TCP,,TCP Sender CPU utilization,,,,TCP Receiver CPU utilization,,,
Average,Receiver Throughput(Gbps),Retransmission,User Usage(%),System Usage(%),IOWait(%),Software IRQ((%),User Usage(%),System Usage(%),IOWait(%),Software IRQ((%)
HOST,9.889116,0,0.678,7.356,0.002,3.118,1.058,11.19,0.004,14.018
VXLAN,8.580578,11563.4,0.818,10.066,0.008,35.796,1.06,8.122,0.004,42.196
STATIC,9.739131,580819.2,0.752,7.59,0.002,4.66,1.018,8.508,0.004,17.94
DYNAMIC,9.724625,682557,0.806,11.046,0.002,5.502,1.016,5.482,0.006,15.81
GKE,9.73456,624380.8,1.43,8.886,0.002,2.186,2.61,11.458,0.006,8.536
