# Raw per-repetition values (seconds); source: Exp_provisioning time.xlsx
config,set,phase,rep1_s,rep2_s,rep3_s
B-VXLAN,initial_4node,VM_creation,40.2,40.9,40.9
B-VXLAN,initial_4node,K8s_setup,130.0,131.4,144.2
B-VXLAN,initial_4node,Cilium_ready,5.8,5.3,5.6
B-VXLAN,initial_4node,VPC_task,0.0,0.0,0.0
B-VXLAN,initial_4node,Connectivity_test,26.6,25.7,24.9
B-VXLAN,initial_4node,Total,202.6,203.2,215.5
B-Host,initial_4node,VM_creation,41.4,30.3,40.7
B-Host,initial_4node,K8s_setup,126.8,126.0,129.5
B-Host,initial_4node,Cilium_ready,7.9,5.6,12.8
B-Host,initial_4node,VPC_task,0.0,0.0,0.0
B-Host,initial_4node,Connectivity_test,11.8,12.0,11.5
B-Host,initial_4node,Total,187.9,174.0,194.5
N-Static,initial_4node,VM_creation,40.8,40.8,31.3
N-Static,initial_4node,K8s_setup,137.8,136.4,124.4
N-Static,initial_4node,Cilium_ready,3.6,9.9,9.7
N-Static,initial_4node,VPC_task,74.8,76.8,83.6
N-Static,initial_4node,Connectivity_test,24.8,27.8,25.6
N-Static,initial_4node,Total,281.9,291.7,274.5
N-Dynamic,initial_4node,VM_creation,40.5,40.9,40.4
N-Dynamic,initial_4node,K8s_setup,122.6,136.2,138.2
N-Dynamic,initial_4node,Cilium_ready,7.5,14.6,10.3
N-Dynamic,initial_4node,VPC_task,196.0,196.6,201.8
N-Dynamic,initial_4node,Connectivity_test,24.5,40.1,27.8
N-Dynamic,initial_4node,Total,391.1,428.5,418.5
N-Cloud,initial_4node,VM_creation,41.1,41.0,40.1
N-Cloud,initial_4node,K8s_setup,133.5,136.6,131.9
N-Cloud,initial_4node,Cilium_ready,5.3,7.7,5.2
N-Cloud,initial_4node,VPC_task,65.6,64.3,58.8
N-Cloud,initial_4node,Connectivity_test,26.7,26.6,25.9
N-Cloud,initial_4node,Total,272.2,276.2,261.8
B-VXLAN,scaleup_plus4,VM_creation,29.3,29.5,29.7
B-VXLAN,scaleup_plus4,K8s_setup,96.1,90.8,100.0
B-VXLAN,scaleup_plus4,Cilium_ready,8.1,5.8,5.8
B-VXLAN,scaleup_plus4,VPC_task,0.0,0.0,0.0
B-VXLAN,scaleup_plus4,Connectivity_test,26.7,26.9,28.8
B-VXLAN,scaleup_plus4,Total,160.2,153.0,164.2
B-Host,scaleup_plus4,VM_creation,29.4,29.5,29.6
B-Host,scaleup_plus4,K8s_setup,89.2,97.1,98.7
B-Host,scaleup_plus4,Cilium_ready,5.8,5.8,8.2
B-Host,scaleup_plus4,VPC_task,0.0,0.0,0.0
B-Host,scaleup_plus4,Connectivity_test,12.6,13.6,13.0
B-Host,scaleup_plus4,Total,136.9,145.9,149.5
N-Static,scaleup_plus4,VM_creation,29.6,29.1,29.2
N-Static,scaleup_plus4,K8s_setup,89.4,97.4,89.3
N-Static,scaleup_plus4,Cilium_ready,8.2,5.8,6.1
N-Static,scaleup_plus4,VPC_task,89.4,83.8,78.1
N-Static,scaleup_plus4,Connectivity_test,27.0,28.1,28.0
N-Static,scaleup_plus4,Total,243.6,244.2,230.7
N-Dynamic,scaleup_plus4,VM_creation,30.0,29.2,29.1
N-Dynamic,scaleup_plus4,K8s_setup,91.8,92.1,100.4
N-Dynamic,scaleup_plus4,Cilium_ready,8.3,8.2,6.0
N-Dynamic,scaleup_plus4,VPC_task,96.6,95.3,94.3
N-Dynamic,scaleup_plus4,Connectivity_test,26.7,26.4,26.6
N-Dynamic,scaleup_plus4,Total,253.3,251.2,256.4
N-Cloud,scaleup_plus4,VM_creation,29.6,29.7,29.5
N-Cloud,scaleup_plus4,K8s_setup,87.1,95.6,91.8
N-Cloud,scaleup_plus4,Cilium_ready,8.1,8.2,8.1
N-Cloud,scaleup_plus4,VPC_task,51.8,53.8,56.3
N-Cloud,scaleup_plus4,Connectivity_test,25.9,29.0,26.9
N-Cloud,scaleup_plus4,Total,202.5,216.4,212.6
