"# NARA Fig. 2 raw data: monthly managed-service cost vs cluster size (list prices, accessed 2026-07-04)"
"# N-Dynamic = ceil(n/K) * $54.75/mo per NCC router-appliance spoke (K=1, $0.075/h); N-Cloud = flat $73.00/mo GKE fee ($0.10/h); N-Static = $0 managed cost"
"# crossover n* = 73.00/54.75 = 1.33 nodes; route-quota cliff at n = 250 (N-Static/N-Dynamic infeasible beyond, single-region)"
# paper figure uses log-log axes; N-Static plotted at y=1 for log-scale visibility (true value 0)
nodes,N-Dynamic_USD_per_month,N-Cloud_USD_per_month,N-Static_USD_per_month
1,54.75,73.0,0.0
2,109.5,73.0,0.0
3,164.25,73.0,0.0
4,219.0,73.0,0.0
5,273.75,73.0,0.0
6,328.5,73.0,0.0
7,383.25,73.0,0.0
8,438.0,73.0,0.0
9,492.75,73.0,0.0
10,547.5,73.0,0.0
11,602.25,73.0,0.0
12,657.0,73.0,0.0
13,711.75,73.0,0.0
14,766.5,73.0,0.0
15,821.25,73.0,0.0
16,876.0,73.0,0.0
17,930.75,73.0,0.0
18,985.5,73.0,0.0
19,1040.25,73.0,0.0
20,1095.0,73.0,0.0
21,1149.75,73.0,0.0
22,1204.5,73.0,0.0
23,1259.25,73.0,0.0
24,1314.0,73.0,0.0
25,1368.75,73.0,0.0
26,1423.5,73.0,0.0
27,1478.25,73.0,0.0
28,1533.0,73.0,0.0
29,1587.75,73.0,0.0
30,1642.5,73.0,0.0
31,1697.25,73.0,0.0
32,1752.0,73.0,0.0
33,1806.75,73.0,0.0
34,1861.5,73.0,0.0
35,1916.25,73.0,0.0
36,1971.0,73.0,0.0
37,2025.75,73.0,0.0
38,2080.5,73.0,0.0
39,2135.25,73.0,0.0
40,2190.0,73.0,0.0
41,2244.75,73.0,0.0
42,2299.5,73.0,0.0
43,2354.25,73.0,0.0
44,2409.0,73.0,0.0
45,2463.75,73.0,0.0
46,2518.5,73.0,0.0
47,2573.25,73.0,0.0
48,2628.0,73.0,0.0
49,2682.75,73.0,0.0
50,2737.5,73.0,0.0
51,2792.25,73.0,0.0
52,2847.0,73.0,0.0
53,2901.75,73.0,0.0
54,2956.5,73.0,0.0
55,3011.25,73.0,0.0
56,3066.0,73.0,0.0
57,3120.75,73.0,0.0
58,3175.5,73.0,0.0
59,3230.25,73.0,0.0
60,3285.0,73.0,0.0
61,3339.75,73.0,0.0
62,3394.5,73.0,0.0
63,3449.25,73.0,0.0
64,3504.0,73.0,0.0
65,3558.75,73.0,0.0
66,3613.5,73.0,0.0
67,3668.25,73.0,0.0
68,3723.0,73.0,0.0
69,3777.75,73.0,0.0
70,3832.5,73.0,0.0
71,3887.25,73.0,0.0
72,3942.0,73.0,0.0
73,3996.75,73.0,0.0
74,4051.5,73.0,0.0
75,4106.25,73.0,0.0
76,4161.0,73.0,0.0
77,4215.75,73.0,0.0
78,4270.5,73.0,0.0
79,4325.25,73.0,0.0
80,4380.0,73.0,0.0
81,4434.75,73.0,0.0
82,4489.5,73.0,0.0
