# Figure 2 data: single client/server pod pair on different worker nodes, 8-node cluster.
# Values are means over three runs; per-repetition values were not retained for this experiment.
figure,config,metric,mean,unit,n_runs
2,B-Host,tcp_throughput,9.889124,Gbps,3
2,B-Host,sender_cpu_user,0.678,%,3
2,B-Host,sender_cpu_system,7.356,%,3
2,B-Host,sender_cpu_iowait,0.002,%,3
2,B-Host,sender_cpu_softirq,3.118,%,3
2,B-Host,receiver_cpu_user,1.058,%,3
2,B-Host,receiver_cpu_system,11.19,%,3
2,B-Host,receiver_cpu_iowait,0.004,%,3
2,B-Host,receiver_cpu_softirq,14.018,%,3
2,B-VXLAN,tcp_throughput,8.638217,Gbps,3
2,B-VXLAN,sender_cpu_user,0.818,%,3
2,B-VXLAN,sender_cpu_system,10.066,%,3
2,B-VXLAN,sender_cpu_iowait,0.008,%,3
2,B-VXLAN,sender_cpu_softirq,35.796,%,3
2,B-VXLAN,receiver_cpu_user,1.06,%,3
2,B-VXLAN,receiver_cpu_system,8.122,%,3
2,B-VXLAN,receiver_cpu_iowait,0.004,%,3
2,B-VXLAN,receiver_cpu_softirq,42.196,%,3
2,N-Static,tcp_throughput,9.751752,Gbps,3
2,N-Static,sender_cpu_user,0.752,%,3
2,N-Static,sender_cpu_system,7.59,%,3
2,N-Static,sender_cpu_iowait,0.002,%,3
2,N-Static,sender_cpu_softirq,4.66,%,3
2,N-Static,receiver_cpu_user,1.018,%,3
2,N-Static,receiver_cpu_system,8.508,%,3
2,N-Static,receiver_cpu_iowait,0.004,%,3
2,N-Static,receiver_cpu_softirq,17.94,%,3
2,N-Dynamic,tcp_throughput,9.735273,Gbps,3
2,N-Dynamic,sender_cpu_user,0.806,%,3
2,N-Dynamic,sender_cpu_system,11.046,%,3
2,N-Dynamic,sender_cpu_iowait,0.002,%,3
2,N-Dynamic,sender_cpu_softirq,5.502,%,3
2,N-Dynamic,receiver_cpu_user,1.016,%,3
2,N-Dynamic,receiver_cpu_system,5.482,%,3
2,N-Dynamic,receiver_cpu_iowait,0.006,%,3
2,N-Dynamic,receiver_cpu_softirq,15.81,%,3
2,N-Cloud,tcp_throughput,9.74,Gbps,3
2,N-Cloud,sender_cpu_user,1.43,%,3
2,N-Cloud,sender_cpu_system,8.886,%,3
2,N-Cloud,sender_cpu_iowait,0.002,%,3
2,N-Cloud,sender_cpu_softirq,2.186,%,3
2,N-Cloud,receiver_cpu_user,2.61,%,3
2,N-Cloud,receiver_cpu_system,11.458,%,3
2,N-Cloud,receiver_cpu_iowait,0.006,%,3
2,N-Cloud,receiver_cpu_softirq,8.536,%,3
