# Figure 3 raw data: provisioning wall-clock time per repetition.
# set: initial_4node = Fig. 3(a), deployment to 4 nodes (1 control plane + 3 workers);
#      scaleup_4to8node = Fig. 3(b), incremental scale-up to 8 nodes (1 control plane + 7 workers).
# phase T0_to_T5 is the total and equals the sum of the four preceding phases.
figure,config,set,phase_id,phase,run,value,unit
3,B-VXLAN,initial_4node,T0_to_T1,infrastructure_provisioning,1,40.214,s
3,B-VXLAN,initial_4node,T0_to_T1,infrastructure_provisioning,2,40.878,s
3,B-VXLAN,initial_4node,T0_to_T1,infrastructure_provisioning,3,40.85,s
3,B-VXLAN,initial_4node,T1_to_T2,kubernetes_setup,1,130.021,s
3,B-VXLAN,initial_4node,T1_to_T2,kubernetes_setup,2,131.403,s
3,B-VXLAN,initial_4node,T1_to_T2,kubernetes_setup,3,144.215,s
3,B-VXLAN,initial_4node,T2_to_T3,cni_setup,1,5.77,s
3,B-VXLAN,initial_4node,T2_to_T3,cni_setup,2,5.29,s
3,B-VXLAN,initial_4node,T2_to_T3,cni_setup,3,5.584,s
3,B-VXLAN,initial_4node,T3_to_T4,routing_setup,1,0.0,s
3,B-VXLAN,initial_4node,T3_to_T4,routing_setup,2,0.0,s
3,B-VXLAN,initial_4node,T3_to_T4,routing_setup,3,0.0,s
3,B-VXLAN,initial_4node,T4_to_T5,readiness_check,1,26.576,s
3,B-VXLAN,initial_4node,T4_to_T5,readiness_check,2,25.674,s
3,B-VXLAN,initial_4node,T4_to_T5,readiness_check,3,24.884,s
3,B-VXLAN,initial_4node,T0_to_T5,total,1,202.583,s
3,B-VXLAN,initial_4node,T0_to_T5,total,2,203.245,s
3,B-VXLAN,initial_4node,T0_to_T5,total,3,215.533,s
3,B-VXLAN,scaleup_4to8node,T0_to_T1,infrastructure_provisioning,1,29.276,s
3,B-VXLAN,scaleup_4to8node,T0_to_T1,infrastructure_provisioning,2,29.46,s
3,B-VXLAN,scaleup_4to8node,T0_to_T1,infrastructure_provisioning,3,29.681,s
3,B-VXLAN,scaleup_4to8node,T1_to_T2,kubernetes_setup,1,96.132,s
3,B-VXLAN,scaleup_4to8node,T1_to_T2,kubernetes_setup,2,90.842,s
3,B-VXLAN,scaleup_4to8node,T1_to_T2,kubernetes_setup,3,99.998,s
3,B-VXLAN,scaleup_4to8node,T2_to_T3,cni_setup,1,8.147,s
3,B-VXLAN,scaleup_4to8node,T2_to_T3,cni_setup,2,5.788,s
3,B-VXLAN,scaleup_4to8node,T2_to_T3,cni_setup,3,5.777,s
3,B-VXLAN,scaleup_4to8node,T3_to_T4,routing_setup,1,0.0,s
3,B-VXLAN,scaleup_4to8node,T3_to_T4,routing_setup,2,0.0,s
3,B-VXLAN,scaleup_4to8node,T3_to_T4,routing_setup,3,0.0,s
3,B-VXLAN,scaleup_4to8node,T4_to_T5,readiness_check,1,26.671,s
3,B-VXLAN,scaleup_4to8node,T4_to_T5,readiness_check,2,26.923,s
3,B-VXLAN,scaleup_4to8node,T4_to_T5,readiness_check,3,28.751,s
3,B-VXLAN,scaleup_4to8node,T0_to_T5,total,1,160.226,s
3,B-VXLAN,scaleup_4to8node,T0_to_T5,total,2,153.012,s
3,B-VXLAN,scaleup_4to8node,T0_to_T5,total,3,164.208,s
3,B-Host,initial_4node,T0_to_T1,infrastructure_provisioning,1,41.365,s
3,B-Host,initial_4node,T0_to_T1,infrastructure_provisioning,2,30.327,s
3,B-Host,initial_4node,T0_to_T1,infrastructure_provisioning,3,40.669,s
3,B-Host,initial_4node,T1_to_T2,kubernetes_setup,1,126.821,s
3,B-Host,initial_4node,T1_to_T2,kubernetes_setup,2,125.999,s
3,B-Host,initial_4node,T1_to_T2,kubernetes_setup,3,129.505,s
3,B-Host,initial_4node,T2_to_T3,cni_setup,1,7.895,s
3,B-Host,initial_4node,T2_to_T3,cni_setup,2,5.636,s
3,B-Host,initial_4node,T2_to_T3,cni_setup,3,12.79,s
3,B-Host,initial_4node,T3_to_T4,routing_setup,1,0.0,s
3,B-Host,initial_4node,T3_to_T4,routing_setup,2,0.0,s
3,B-Host,initial_4node,T3_to_T4,routing_setup,3,0.0,s
3,B-Host,initial_4node,T4_to_T5,readiness_check,1,11.829,s
3,B-Host,initial_4node,T4_to_T5,readiness_check,2,12.047,s
3,B-Host,initial_4node,T4_to_T5,readiness_check,3,11.547,s
3,B-Host,initial_4node,T0_to_T5,total,1,187.91,s
3,B-Host,initial_4node,T0_to_T5,total,2,174.011,s
3,B-Host,initial_4node,T0_to_T5,total,3,194.511,s
3,B-Host,scaleup_4to8node,T0_to_T1,infrastructure_provisioning,1,29.358,s
