# Figure 3 summary: mean and sample standard deviation over the three repetitions in fig3_provisioning_raw.csv.
figure,config,set,phase_id,phase,mean,sd,n_runs,unit
3,B-VXLAN,initial_4node,T0_to_T1,infrastructure_provisioning,40.647,0.376,3,s
3,B-VXLAN,initial_4node,T1_to_T2,kubernetes_setup,135.213,7.827,3,s
3,B-VXLAN,initial_4node,T2_to_T3,cni_setup,5.548,0.242,3,s
3,B-VXLAN,initial_4node,T3_to_T4,routing_setup,0.0,0.0,3,s
3,B-VXLAN,initial_4node,T4_to_T5,readiness_check,25.711,0.847,3,s
3,B-VXLAN,initial_4node,T0_to_T5,total,207.12,7.293,3,s
3,B-VXLAN,scaleup_4to8node,T0_to_T1,infrastructure_provisioning,29.472,0.203,3,s
3,B-VXLAN,scaleup_4to8node,T1_to_T2,kubernetes_setup,95.657,4.596,3,s
3,B-VXLAN,scaleup_4to8node,T2_to_T3,cni_setup,6.571,1.365,3,s
3,B-VXLAN,scaleup_4to8node,T3_to_T4,routing_setup,0.0,0.0,3,s
3,B-VXLAN,scaleup_4to8node,T4_to_T5,readiness_check,27.448,1.135,3,s
3,B-VXLAN,scaleup_4to8node,T0_to_T5,total,159.149,5.675,3,s
3,B-Host,initial_4node,T0_to_T1,infrastructure_provisioning,37.454,6.182,3,s
3,B-Host,initial_4node,T1_to_T2,kubernetes_setup,127.442,1.834,3,s
3,B-Host,initial_4node,T2_to_T3,cni_setup,8.774,3.657,3,s
3,B-Host,initial_4node,T3_to_T4,routing_setup,0.0,0.0,3,s
3,B-Host,initial_4node,T4_to_T5,readiness_check,11.808,0.251,3,s
3,B-Host,initial_4node,T0_to_T5,total,185.477,10.464,3,s
3,B-Host,scaleup_4to8node,T0_to_T1,infrastructure_provisioning,29.48,0.131,3,s
3,B-Host,scaleup_4to8node,T1_to_T2,kubernetes_setup,95.016,5.074,3,s
3,B-Host,scaleup_4to8node,T2_to_T3,cni_setup,6.569,1.387,3,s
3,B-Host,scaleup_4to8node,T3_to_T4,routing_setup,0.0,0.0,3,s
3,B-Host,scaleup_4to8node,T4_to_T5,readiness_check,13.059,0.509,3,s
3,B-Host,scaleup_4to8node,T0_to_T5,total,144.124,6.494,3,s
3,N-Static,initial_4node,T0_to_T1,infrastructure_provisioning,37.633,5.496,3,s
3,N-Static,initial_4node,T1_to_T2,kubernetes_setup,132.846,7.387,3,s
3,N-Static,initial_4node,T2_to_T3,cni_setup,7.716,3.584,3,s
3,N-Static,initial_4node,T3_to_T4,routing_setup,78.417,4.599,3,s
3,N-Static,initial_4node,T4_to_T5,readiness_check,26.084,1.574,3,s
3,N-Static,initial_4node,T0_to_T5,total,282.696,8.603,3,s
3,N-Static,scaleup_4to8node,T0_to_T1,infrastructure_provisioning,29.276,0.253,3,s
3,N-Static,scaleup_4to8node,T1_to_T2,kubernetes_setup,92.024,4.646,3,s
3,N-Static,scaleup_4to8node,T2_to_T3,cni_setup,6.718,1.32,3,s
3,N-Static,scaleup_4to8node,T3_to_T4,routing_setup,83.749,5.643,3,s
3,N-Static,scaleup_4to8node,T4_to_T5,readiness_check,27.712,0.59,3,s
3,N-Static,scaleup_4to8node,T0_to_T5,total,239.478,7.644,3,s
3,N-Dynamic,initial_4node,T0_to_T1,infrastructure_provisioning,40.581,0.265,3,s
3,N-Dynamic,initial_4node,T1_to_T2,kubernetes_setup,132.347,8.459,3,s
3,N-Dynamic,initial_4node,T2_to_T3,cni_setup,10.801,3.596,3,s
3,N-Dynamic,initial_4node,T3_to_T4,routing_setup,198.104,3.181,3,s
3,N-Dynamic,initial_4node,T4_to_T5,readiness_check,30.838,8.229,3,s
3,N-Dynamic,initial_4node,T0_to_T5,total,412.671,19.355,3,s
3,N-Dynamic,scaleup_4to8node,T0_to_T1,infrastructure_provisioning,29.399,0.489,3,s
3,N-Dynamic,scaleup_4to8node,T1_to_T2,kubernetes_setup,94.775,4.868,3,s
3,N-Dynamic,scaleup_4to8node,T2_to_T3,cni_setup,7.5,1.296,3,s
3,N-Dynamic,scaleup_4to8node,T3_to_T4,routing_setup,95.403,1.125,3,s
3,N-Dynamic,scaleup_4to8node,T4_to_T5,readiness_check,26.555,0.136,3,s
3,N-Dynamic,scaleup_4to8node,T0_to_T5,total,253.633,2.633,3,s
3,N-Cloud,initial_4node,T0_to_T1,infrastructure_provisioning,413.488,32.29,3,s
3,N-Cloud,initial_4node,T1_to_T2,kubernetes_setup,137.713,2.194,3,s
3,N-Cloud,initial_4node,T2_to_T3,cni_setup,66.464,5.761,3,s
3,N-Cloud,initial_4node,T3_to_T4,routing_setup,0.0,0.0,3,s
3,N-Cloud,initial_4node,T4_to_T5,readiness_check,26.077,1.038,3,s
3,N-Cloud,initial_4node,T0_to_T5,total,643.743,39.412,3,s
3,N-Cloud,scaleup_4to8node,T0_to_T1,infrastructure_provisioning,17.414,0.141,3,s
3,N-Cloud,scaleup_4to8node,T1_to_T2,kubernetes_setup,142.981,5.692,3,s
3,N-Cloud,scaleup_4to8node,T2_to_T3,cni_setup,11.027,0.431,3,s
3,N-Cloud,scaleup_4to8node,T3_to_T4,routing_setup,0.0,0.0,3,s
3,N-Cloud,scaleup_4to8node,T4_to_T5,readiness_check,29.981,1.219,3,s
3,N-Cloud,scaleup_4to8node,T0_to_T5,total,201.403,4.232,3,s
