# Figure 4 data: routing-specific monthly fee modelled from published Google Cloud list prices.
# Modelled, not measured: N-Dynamic = ceil(n/8) x $54.75 NCC spoke; N-Cloud = flat $73.00 GKE fee; N-Static = $0.
figure,config,nodes,fee,unit
4,N-Dynamic,1,54.75,USD/month
4,N-Cloud,1,73.0,USD/month
4,N-Static,1,0.0,USD/month
4,N-Dynamic,2,54.75,USD/month
4,N-Cloud,2,73.0,USD/month
4,N-Static,2,0.0,USD/month
4,N-Dynamic,3,54.75,USD/month
4,N-Cloud,3,73.0,USD/month
4,N-Static,3,0.0,USD/month
4,N-Dynamic,4,54.75,USD/month
4,N-Cloud,4,73.0,USD/month
4,N-Static,4,0.0,USD/month
4,N-Dynamic,5,54.75,USD/month
4,N-Cloud,5,73.0,USD/month
4,N-Static,5,0.0,USD/month
4,N-Dynamic,6,54.75,USD/month
4,N-Cloud,6,73.0,USD/month
4,N-Static,6,0.0,USD/month
4,N-Dynamic,7,54.75,USD/month
4,N-Cloud,7,73.0,USD/month
4,N-Static,7,0.0,USD/month
4,N-Dynamic,8,54.75,USD/month
4,N-Cloud,8,73.0,USD/month
4,N-Static,8,0.0,USD/month
4,N-Dynamic,9,109.5,USD/month
4,N-Cloud,9,73.0,USD/month
4,N-Static,9,0.0,USD/month
4,N-Dynamic,10,109.5,USD/month
4,N-Cloud,10,73.0,USD/month
4,N-Static,10,0.0,USD/month
4,N-Dynamic,11,109.5,USD/month
4,N-Cloud,11,73.0,USD/month
4,N-Static,11,0.0,USD/month
4,N-Dynamic,12,109.5,USD/month
4,N-Cloud,12,73.0,USD/month
4,N-Static,12,0.0,USD/month
4,N-Dynamic,13,109.5,USD/month
4,N-Cloud,13,73.0,USD/month
4,N-Static,13,0.0,USD/month
4,N-Dynamic,14,109.5,USD/month
4,N-Cloud,14,73.0,USD/month
4,N-Static,14,0.0,USD/month
4,N-Dynamic,15,109.5,USD/month
4,N-Cloud,15,73.0,USD/month
4,N-Static,15,0.0,USD/month
4,N-Dynamic,16,109.5,USD/month
4,N-Cloud,16,73.0,USD/month
4,N-Static,16,0.0,USD/month
4,N-Dynamic,17,164.25,USD/month
4,N-Cloud,17,73.0,USD/month
4,N-Static,17,0.0,USD/month
4,N-Dynamic,18,164.25,USD/month
4,N-Cloud,18,73.0,USD/month
4,N-Static,18,0.0,USD/month
4,N-Dynamic,19,164.25,USD/month
4,N-Cloud,19,73.0,USD/month
4,N-Static,19,0.0,USD/month
4,N-Dynamic,20,164.25,USD/month
4,N-Cloud,20,73.0,USD/month
4,N-Static,20,0.0,USD/month
4,N-Dynamic,21,164.25,USD/month
4,N-Cloud,21,73.0,USD/month
4,N-Static,21,0.0,USD/month
4,N-Dynamic,22,164.25,USD/month
4,N-Cloud,22,73.0,USD/month
4,N-Static,22,0.0,USD/month
4,N-Dynamic,23,164.25,USD/month
4,N-Cloud,23,73.0,USD/month
4,N-Static,23,0.0,USD/month
4,N-Dynamic,24,164.25,USD/month
4,N-Cloud,24,73.0,USD/month
4,N-Static,24,0.0,USD/month
4,N-Dynamic,25,219.0,USD/month
4,N-Cloud,25,73.0,USD/month
4,N-Static,25,0.0,USD/month
4,N-Dynamic,26,219.0,USD/month
4,N-Cloud,26,73.0,USD/month
4,N-Static,26,0.0,USD/month
4,N-Dynamic,27,219.0,USD/month
4,N-Cloud,27,73.0,USD/month
4,N-Static,27,0.0,USD/month
4,N-Dynamic,28,219.0,USD/month
4,N-Cloud,28,73.0,USD/month
4,N-Static,28,0.0,USD/month
4,N-Dynamic,29,219.0,USD/month
4,N-Cloud,29,73.0,USD/month
4,N-Static,29,0.0,USD/month
4,N-Dynamic,30,219.0,USD/month
4,N-Cloud,30,73.0,USD/month
4,N-Static,30,0.0,USD/month
4,N-Dynamic,31,219.0,USD/month
4,N-Cloud,31,73.0,USD/month
4,N-Static,31,0.0,USD/month
4,N-Dynamic,32,219.0,USD/month
4,N-Cloud,32,73.0,USD/month
4,N-Static,32,0.0,USD/month
4,N-Dynamic,33,273.75,USD/month
4,N-Cloud,33,73.0,USD/month
4,N-Static,33,0.0,USD/month
4,N-Dynamic,34,273.75,USD/month
4,N-Cloud,34,73.0,USD/month
4,N-Static,34,0.0,USD/month
4,N-Dynamic,35,273.75,USD/month
4,N-Cloud,35,73.0,USD/month
4,N-Static,35,0.0,USD/month
4,N-Dynamic,36,273.75,USD/month
4,N-Cloud,36,73.0,USD/month
4,N-Static,36,0.0,USD/month
4,N-Dynamic,37,273.75,USD/month
4,N-Cloud,37,73.0,USD/month
4,N-Static,37,0.0,USD/month
4,N-Dynamic,38,273.75,USD/month
4,N-Cloud,38,73.0,USD/month
4,N-Static,38,0.0,USD/month
4,N-Dynamic,39,273.75,USD/month
4,N-Cloud,39,73.0,USD/month
4,N-Static,39,0.0,USD/month
4,N-Dynamic,40,273.75,USD/month
4,N-Cloud,40,73.0,USD/month
4,N-Static,40,0.0,USD/month
4,N-Dynamic,41,328.5,USD/month
4,N-Cloud,41,73.0,USD/month
4,N-Static,41,0.0,USD/month
4,N-Dynamic,42,328.5,USD/month
4,N-Cloud,42,73.0,USD/month
4,N-Static,42,0.0,USD/month
