"# Figure 3 data: provisioning wall-clock time (seconds), average of 3 runs; total SD across runs (paired per run for the cumulative set); N-Cloud = real GKE re-run (fig3-gke.csv, 2026-07-30)"
# set: initial_4workers = Figure 3a; cumulative_8workers = Figure 3b (initial + incremental scale-up); scaleup_increment = the added portion only (not plotted)
config,set,VM_creation_mean_s,Kubernetes_setup_mean_s,CNI_setup_mean_s,VPC_task_mean_s,Connectivity_check_mean_s,Total_mean_s,Total_SD_s
B-Host,initial_4workers,37.45,127.44,8.77,0.00,11.81,185.48,10.46
B-VXLAN,initial_4workers,40.65,135.21,5.55,0.00,25.71,207.12,7.29
N-Static,initial_4workers,37.63,132.85,7.72,78.42,26.08,282.70,8.60
N-Dynamic,initial_4workers,40.58,132.35,10.80,198.10,30.84,412.67,19.35
N-Cloud,initial_4workers,413.49,137.71,66.46,0.00,26.08,643.74,39.41
B-Host,scaleup_increment,29.48,95.02,6.57,0.00,13.06,144.12,6.49
B-VXLAN,scaleup_increment,29.47,95.66,6.57,0.00,27.45,159.15,5.68
N-Static,scaleup_increment,29.28,92.02,6.72,83.75,27.71,239.48,7.64
N-Dynamic,scaleup_increment,29.40,94.78,7.50,95.40,26.55,253.63,2.63
N-Cloud,scaleup_increment,17.41,142.98,11.03,0.00,29.98,201.40,4.23
B-Host,cumulative_8workers,66.93,222.46,15.34,0.00,24.87,329.60,12.73
B-VXLAN,cumulative_8workers,70.12,230.87,12.12,0.00,53.16,366.27,12.12
N-Static,cumulative_8workers,66.91,224.87,14.43,162.17,53.80,522.17,15.60
N-Dynamic,cumulative_8workers,69.98,227.12,18.30,293.51,57.39,666.30,19.14
N-Cloud,cumulative_8workers,430.90,280.69,77.49,0.00,56.06,845.15,43.26
