case,criterion,delta,margin
CS1,Tput,+0.05,0.3365
CS1,Tput,-0.05,0.3533
CS1,Conv,+0.05,0.3923
CS1,Conv,-0.05,0.2901
CS1,Fee,+0.05,0.3153
CS1,Fee,-0.05,0.3805
CS1,Prov,+0.05,0.3466
CS1,Prov,-0.05,0.3434
CS1,Scal,+0.05,0.3452
CS1,Scal,-0.05,0.3446
CS1,base,0.00,0.3448
CS2,Tput,+0.05,0.6258
CS2,Tput,-0.05,0.6258
CS2,Conv,+0.05,0.5724
CS2,Conv,-0.05,0.6801
CS2,Fee,+0.05,0.6660
CS2,Fee,-0.05,0.5746
CS2,Prov,+0.05,0.6267
CS2,Prov,-0.05,0.6250
CS2,Scal,+0.05,0.5932
CS2,Scal,-0.05,0.6492
CS2,base,0.00,0.6258
CS4,Tput,+0.05,0.2261
CS4,Tput,-0.05,0.2261
CS4,Conv,+0.05,0.2853
CS4,Conv,-0.05,0.1690
CS4,Fee,+0.05,0.1827
CS4,Fee,-0.05,0.2919
CS4,Prov,+0.05,0.1723
CS4,Prov,-0.05,0.2824
CS4,Scal,+0.05,0.2753
CS4,Scal,-0.05,0.1814
CS4,base,0.00,0.2261
CS5,Tput,+0.05,0.0157
CS5,Tput,-0.05,0.0157
CS5,Conv,+0.05,0.0329
CS5,Conv,-0.05,0.0027
CS5,Fee,+0.05,-0.1305
CS5,Fee,-0.05,0.2180
CS5,Prov,+0.05,0.0099
CS5,Prov,-0.05,0.0197
CS5,Scal,+0.05,0.1544
CS5,Scal,-0.05,-0.1699
CS5,base,0.00,0.0157
